Hakuba Mix Okonomiyaki,1800,Beef,Pork,Shrimp,Squid,Octopus,Big shrimp,Asparagus,Mushroom,2 Eggs
Special Okonomiyaki,1400,Beef,Pork,Shrimp,Squid,Egg
Seafood Special Okonomiyaki,1400,Shrimp,Squid,Octopus,Big shrimp,Scallop,Egg
Narutokintoki and Red kidney beans Okonomiyaki,1100,Narutokintoki sweet potato,Pork,Egg
3-kinds-Cheese and Fish-Katsu Okonomiyaki,1100,Cream cheese,Mozzarella cheese,Processed cheese,Fish-Katsu,Shrimp,Squid,Egg
Mozzarella cheese and Tofu Okonomiyaki,1100,Mozzarella cheese,Tofu,Shrimp,Squid,Tomato,Egg
Beef and Lotus root Okonomiyaki,1050,Beef,Sliced and Grated Lotus Root,Egg
Mentaiko and Mayonnaise Okonomiyaki,1050,Shrimp,Squid,Mentaiko,Mentaiko Mayo,Eggs
Pizza-Style Okonomiyaki,1050,Cheese,Shrimp,Squid,Bacon,Egg
Akashiyaki-Style Okonomiyaki,1050,Octopus,shrimp,2 Egg
